Frame,Marker ID,2D Coordinates,Distance,Yaw,Pitch,Roll
185,8,"(371.0,4.0),(429.0,3.0),(431.0,64.0),(373.0,65.0)",0.01723881690412039,-4.704365105774587,24.359961027687056,-0.98776037
186,8,"(371.0,11.0),(429.0,10.0),(431.0,71.0),(373.0,72.0)",0.01723881690412039,-4.704365105774587,23.896003442838886,-0.98776037
187,8,"(372.0,28.0),(430.0,27.0),(432.0,87.0),(374.0,88.0)",0.01723881690412039,-4.645078425891606,22.789169885991623,-0.98776037
188,8,"(372.0,35.0),(430.0,34.0),(432.0,93.0),(374.0,95.0)",0.01723881690412039,-4.645078425891606,22.331088171045955,-0.98776037
189,8,"(372.0,40.0),(429.0,38.0),(432.0,98.0),(374.0,99.0)",0.01753307030785004,-4.659901035460684,22.02401599737297,-2.0095537
190,8,"(372.0,45.0),(430.0,44.0),(432.0,104.0),(374.0,104.0)",0.01723881690412039,-4.645078425891606,21.64689049873748,-0.98776037
191,8,"(372.0,55.0),(429.0,54.0),(431.0,114.0),(375.0,115.0)",0.017541160775661587,-4.659901035460684,20.93879429693273,-1.005086
192,8,"(371.0,62.0),(428.0,60.0),(431.0,119.0),(374.0,121.0)",0.01753307030785004,-4.704365105774587,20.521153982661463,-2.0095537
193,8,"(371.0,67.0),(429.0,66.0),(430.0,126.0),(374.0,127.0)",0.01723881690412039,-4.704365105774587,20.101222236122158,-0.98776037
194,8,"(370.0,70.0),(428.0,68.0),(431.0,128.0),(373.0,129.0)",0.01723113765118344,-4.734004667887419,19.94316245453336,-1.974934
195,8,"(369.0,73.0),(427.0,72.0),(430.0,131.0),(372.0,132.0)",0.01723881690412039,-4.793276158759752,19.714294515298057,-0.98776037
196,8,"(368.0,77.0),(426.0,76.0),(428.0,135.0),(371.0,136.0)",0.01723881690412039,-4.867351049721692,19.43170937349589,-0.98776037
197,8,"(367.0,79.0),(425.0,77.0),(427.0,136.0),(371.0,138.0)",0.01723113765118344,-4.911788172505994,19.325485076282582,-1.974934
198,8,"(366.0,80.0),(423.0,78.0),(426.0,137.0),(369.0,139.0)",0.01753307030785004,-5.000644597558433,19.25459201158368,-2.0095537
199,8,"(364.0,80.0),(423.0,79.0),(424.0,138.0),(367.0,140.0)",0.01694671898128332,-5.089476913849909,19.20138195559395,-0.9710219
200,8,"(363.0,80.0),(421.0,79.0),(423.0,138.0),(366.0,140.0)",0.01723881690412039,-5.163485126752891,19.20138195559395,-0.98776037
201,8,"(361.0,80.0),(419.0,79.0),(421.0,138.0),(364.0,139.0)",0.01723881690412039,-5.2818622397576585,19.21912247066031,-0.98776037
202,8,"(359.0,79.0),(417.0,78.0),(419.0,138.0),(362.0,139.0)",0.01723881690412039,-5.40019414911379,19.25459201158368,-0.98776037
203,8,"(357.0,79.0),(415.0,77.0),(418.0,136.0),(360.0,138.0)",0.01723113765118344,-5.503696715865233,19.325485076282582,-1.974934
204,8,"(353.0,78.0),(412.0,76.0),(414.0,135.0),(357.0,137.0)",0.016939422489140817,-5.710593137499642,19.39631667047442,-1.9414862
205,8,"(350.0,77.0),(408.0,75.0),(411.0,135.0),(354.0,137.0)",0.01723113765118344,-5.902577658482903,19.43170937349589,-1.974934
206,8,"(347.0,79.0),(405.0,77.0),(408.0,137.0),(351.0,138.0)",0.01723113765118344,-6.079676256115115,19.307767567621696,-1.974934
207,8,"(346.0,79.0),(404.0,78.0),(407.0,137.0),(350.0,139.0)",0.01723881690412039,-6.138683387367209,19.272321033127003,-0.98776037
208,8,"(343.0,82.0),(401.0,79.0),(404.0,139.0),(347.0,141.0)",0.01721836200531545,-6.315625885111495,19.130381648471023,-2.9609358
209,8,"(341.0,84.0),(399.0,81.0),(402.0,141.0),(345.0,142.0)",0.01721836200531545,-6.433520598646419,19.00598419603678,-2.9609358
210,8,"(340.0,85.0),(398.0,83.0),(401.0,143.0),(344.0,144.0)",0.01723113765118344,-6.492447509322215,18.881400406693604,-1.974934
211,8,"(338.0,86.0),(396.0,84.0),(399.0,144.0),(342.0,145.0)",0.01723113765118344,-6.610259839190213,18.810126301211564,-1.974934
212,8,"(336.0,87.0),(394.0,85.0),(397.0,145.0),(340.0,146.0)",0.01723113765118344,-6.728016050034732,18.7387917430703,-1.974934
213,8,"(335.0,88.0),(394.0,86.0),(396.0,145.0),(339.0,147.0)",0.016939422489140817,-6.772159966113561,18.685251239286643,-1.9414862
214,8,"(333.0,87.0),(391.0,86.0),(394.0,145.0),(337.0,147.0)",0.01723881690412039,-6.904543057049278,18.703101839365473,-0.98776037
215,8,"(332.0,86.0),(390.0,85.0),(393.0,143.0),(335.0,146.0)",0.01723881690412039,-6.978057313654556,18.79229832348605,-0.98776037
